stalemate,1.429,131,8
stalemate,27.493,92,12
stalemate,60.847,142,13
stalemate,88.737,159,14
stalemate,1.323,76,8
stalemate,49.055,216,12
stalemate,52.666,115,13
stalemate,145.148,246,14
red,2.679,40,8
stalemate,839.485,123,12
stalemate,1.218,76,8
stalemate,43.905,216,12
stalemate,44.113,145,13
stalemate,127.048,246,14
stalemate,955.522,119,13
stalemate,3136.216,136,14
black,1.091,65,8
black,51.3,695,12
stalemate,55.931,173,13
red,129.96,338,14
black,1.387,67,8
red,55.575,610,12
stalemate,81.717,174,13
stalemate,127.295,167,14
black,3.078,51,8
stalemate,647.613,116,12
black,1.318,67,8
red,52.62,610,12
stalemate,75.015,174,13
stalemate,113.435,167,14
stalemate,1374.979,112,13
stalemate,2442.517,126,14
red,3.887,66,8
stalemate,583.755,260,12
red,2294.676,184,13
stalemate,3771.482,325,14
stalemate,3.208,90,8
black,502.623,143,12
stalemate,1746.175,237,13
stalemate,2864.153,303,14
black,5.305,87,8
red,659.698,206,12
red,1133.29,210,13
red,2.572,98,8
black,503.653,143,12
black,2359.692,239,14
red,1.316,102,8
black,50.746,695,12
stalemate,58.397,151,13
red,140.232,338,14
stalemate,1713.677,264,13
black,1.463,67,8
red,57.554,670,12
stalemate,91.413,174,13
stalemate,135.133,167,14
red,3.078,48,8
stalemate,650.411,116,12
stalemate,3680.865,264,14
black,1.298,67,8
red,47.24,670,12
stalemate,70.529,174,13
stalemate,104.068,167,14
stalemate,1312.134,112,13
stalemate,2260.479,126,14
